"runoff","rain","snow","etact"
2689514201.32755,490773187.5,0,2632752592.66063
2878959442.8876,1943906.25,0,3263419941.30872
3075378254.86628,26877727662.5,0,4040854184.86671
3273862579.00228,5308552811.5,728482863.5,2328128168.17692
3497663796.24649,33256967.1041667,62871089.1458333,2997087650.73494
3745389222.81827,55183965.09375,243526691.15625,2560174026.54235
3974295869.77056,134904676.25,242386136.25,2938163844.02464
4120432125.14906,73706806.2916667,164905374.958333,4275411729.43265
4139865914.04493,19227447.28125,22644471.46875,4139083281.71839
4028713708.60679,0,0,5381365037.03159
3815909427.08356,0,0,5392539232.98405
3542872343.41655,0,0,5215282723.05755
3247399186.62199,310318093.75,0,3966162718.3939
2957794702.11277,2520915962.78125,3847074.71875,1479282677.36975
2699389347.49952,13674233391.5208,19939252.2291667,4291082152.01885
2473449219.63473,5934752795.42708,298555292.072917,2599071967.10942
2421153363.90835,51529594470.9479,757981679.052083,1166428221.125
2471656273.74137,20980036871.0521,1979271235.19792,2026727412.5
2674794912.75667,3561705213.30208,476095861.697917,3056437163.56607
3041643146.75002,90185841.5104166,5766233.48958333,3483279130.17703
3499030549.80619,0,0,3363355000.45817
3914001075.85306,87790906.25,0,6743516470.35185
4177068036.55752,6774148506.25,0,4882965239.32125
4251949748.3669,367451616.354167,74814.8958333333,3906866579.38772
4166514400.93476,441086156.25,0,4155261517.12029
3980516186.89697,5649087931.25,0,4168499241.54545
3745411458.0616,123404006.25,0,4684527219.87243
3499372990.49974,684375,0,5351324586.47456
3262994651.68872,874833825,0,5381369166.8096
3044878055.24953,38851549.0625,7981357.1875,5455217071.8476
2845246577.32122,0,0,7258890173.23258
2662431195.10969,0,0,5007469899.28632
2493406914.52284,64745593.75,0,5544914900.48121
2335779225.61421,0,0,7679168081.72787
2188353400.78735,0,0,7107794951.23831
2050733673.98527,0,0,6528483353.8678
1922976346.87525,2623103537.5,0,4260741765.35976
1804940911.23552,92070200,0,4127593545.73055
1696201355.86631,0,0,5992025236.61411
1597176603.83804,0,0,7067455387.39639
1507085985.20361,0,0,6840421029.83617
1425442138.9992,3095375,0,5192729491.76887
1351960087.01442,3306549731.25,0,2059524457.22288
1285720591.1567,957392162.5,0,1876088646.96006
1225869655.49981,3073125,0,4380773573.64646
1171923321.76811,2053897150,0,4093005184.65041
1165655921.42189,54861157900,0,3962834315.78662
1202915274.01177,21869960631.25,0,3204986183.36659
1202915274.01177,8120493.75,0,6032409662.09517
1394185792.9428,3095375,0,6951515158.15025
1522582334.08376,0,0,7262644259.71098
1640222533.76906,1120699406.25,0,6588337617.44845
1640222533.76906,155112968.75,0,4745046370.10118
1766865124.28092,1028447187.5,0,5431220530.06204
1763553956.89184,1840175387.5,0,2310355181.97069
1722609778.88605,9391762393.75,0,4780680674.26925
1655303808.35559,4427439618.75,0,4024804931.63188
1569864861.6961,1926056587.5,0,3307810094.05881
1477730403.2626,2615420556.25,0,2750115823.26389
1385034879.94093,719508575,0,6094282142.4092
1297830172.78357,5504366350,0,6676671874.45267
1218352793.30282,1022643125,0,6368956832.66896
1147507797.14125,33475175,0,5867956472.68007
1085386232.49072,539369825,0,6157749671.83258
1036184480.03259,12415439537.5,0,6243829235.8377
992424964.097855,1933772075,0,6338437908.32822
954858350.141045,7626543731.25,0,3180510944.16761
921558192.512571,32579637.5,0,5088653815.19636
891893682.202012,1813593.75,0,4075556157.81325
865127898.374947,376406.25,0,4108243688.47998
840832263.313177,0,0,5474568850.55673
818666962.597263,0,0,4580092341.68106
798217939.792974,0,0,4743909496.16775
779149618.051279,0,0,5352619119.47409
761211938.988374,0,0,4986938347.00373
744074001.379607,18443162.5,0,4402191847.94352
727320243.177199,229548337.5,0,2412172712.21844
710665429.299655,226453181.25,0,3716307789.20116
693909056.825608,0,0,4540319069.02613
676967172.336449,0,0,4109015035.5286
659880787.502836,0,0,4290099457.48315
642675030.859427,490577706.25,0,4066873140.34397
625516243.85595,1691329793.75,0,3849862784.67895
608552664.93623,2393176287.5,0,2252574166.82615
591953861.369722,49163028.125,112921.875,1900519405.73251
575946841.070664,0,0,2337668326.96243
560624670.541147,0,0,2825427217.49802
546067630.106834,5511025,0,2787152521.58379
532345455.461312,870857187.5,0,1325926160.68263
519552773.012163,264396612.5,0,2058021186.79599
507785893.520157,581718.75,0,2769627899.63046
497062309.359939,0,0,2389426554.10789
487354480.386955,87454218.75,0,2459222841.66236
478611034.180897,0,0,2212857982.21458
470702210.741387,0,0,2236218501.3084
463486364.536214,1059093.75,0,1838961861.85224
456812523.102313,1315120162.5,0,2216089380.41161
455096763.645585,15331201400,0,4838988439.1205
451319431.780259,7120736350,0,3412219452.98618
449133065.495579,11203114212.5,0,4398261797.87281
447715770.004252,1883627250,0,4044408433.98349
446631274.891614,1002226562.5,0,3183300887.2639
445928686.959659,302555500,0,2144514359.0814
445840927.391911,2391875,0,2604527306.75091
446561806.489253,0,0,2506359777.67768
448099328.89285,3547893.75,0,2739473563.01068
450196788.71584,2002436918.75,0,2769627516.60752
452483587.537199,3164529618.75,0,3321518786.46706
454365629.979943,317127181.25,0,1540319665.71295
455251494.920295,0,0,1489515003.91271
454679197.005289,0,0,1766283562.07244
452332343.006473,0,0,1787104557.70566
448178040.94275,9327956.25,0,1581070244.28851
442338741.520229,966732143.75,0,1974948525.47736
439205278.584393,3907529081.25,0,2946626780.72643
430223874.590246,46682062.5,0,1288443550.14433
420389607.898123,7334625,0,1273056727.0349
411014097.086401,13748323137.5,0,5026499727.60845
401870121.617466,4726595175,0,2768952249.48421
393185437.576291,893736306.25,0,914881171.452227
384803955.091228,0,0,1304408492.29136
376912539.153642,342187.5,0,1439395467.52175
369695780.633205,476423887.5,0,1351215068.78411
363268939.572182,0,0,1320042405.89661
357721938.867475,0,0,1611884992.37219
353098728.479657,0,0,1284960287.93598
349382916.64306,14559087.5,0,987980503.881508
347995861.06472,19149298025,0,3345727425.00701
350022465.859833,10989126600,0,1527293659.02875
352145670.46652,35547043.75,0,3561535345.45306
354781046.89827,37436168.75,0,2215926536.00196
357650348.580504,0,0,2042358848.875
360702931.173793,0,0,2168727529.90274
363968707.682016,594191468.75,0,1868815026.48484
367427119.231652,0,0,1775529547.1198
370944959.970608,0,0,2134346055.69623
374243900.906777,0,0,1944804254.19664
376914494.507919,0,0,1882457136.57384
378485534.946754,0,0,1395810080.49722
378520136.203614,0,0,1382176167.83229
376721254.364348,2408040768.75,0,2461257647.99423
381011328.112223,37727608418.75,0,1691496089.65688
379395204.459526,0,0,3232801646.80746
376537620.488035,0,0,2581242256.60854
372657019.421344,0,0,2692604198.85309
370002998.922614,22205008475,0,3377077308.59635
368416338.156332,0,0,2834118890.1724
369065421.517596,0,0,2077122973.14397
372946778.984505,0,0,2628581097.34261
380984592.730046,0,0,2856888172.49844
393620268.616611,0,0,2661536771.61478
410480958.648358,0,0,2688260661.91494
429728575.553334,0,0,2469174775.09668
449336189.530622,0,0,1911310567.80563
466696817.858261,0,0,1665761779.32127
479578323.463022,0,0,1469858858.32352
486483956.818306,0,0,1487371924.96931
486891968.310036,0,0,1500760287.04678
481137939.329974,0,0,1348339698.02085
470109793.341555,0,0,1240008779.57106
455456245.916994,13644265343.75,0,3700764256.23226
437817370.831628,190739706.25,0,1206480574.58593
418462560.708959,509438400,0,1331045313.94805
398175141.303881,1002076770.13542,200535873.614583,1177338189.38395
378110802.326101,0,0,1129311469.01096
358630224.114895,0,0,1204093823.71744
340278176.911311,842266125,0,975073845.613621
323391950.00004,5704478775,0,2022297079.4952
712760119.233123,103651899443.75,0,1091902632.4375
1189232361.66653,32089612500,0,866676383
1970608210.5725,271275181.25,0,2346991226.77414
2948710984.80596,0,0,3109378379.28443
3827953434.12345,0,0,1193501657.54668
4370670759.15759,0,0,2187530786.09473
4514626943.5967,0,0,2111748653.88083
4335157727.68745,1356023281.25,0,1753517670.85126
3957214579.92791,0,0,2115059914.13177
3494004832.33877,0,0,2177269398.28967
3023242217.67679,0,0,2167902868.14933
2587371385.10632,1742284275,0,2397657232.78759
2206109342.23809,5011134704.84376,2259423863.90625,1147749930.9191
1881968495.57069,0,91177756.25,1472764377.97831
1610313682.00917,5963052.5,37815816.25,1835968721.75644
1385278804.01191,0,0,1907063060.97908
1198970297.06947,0,0,1909256459.78211
1044611572.30329,0,0,1408606395.04463
916519634.86504,0,0,1135284202.08349
809447844.473776,0,0,1669354856.44853
719688542.442385,0,0,1463733857.33302
644034721.671934,0,0,1799241441.22112
579833272.09852,0,0,1673935319.34871
524975059.95235,0,0,1697307394.28521
477852024.717789,0,0,1953119714.52868
437126088.902748,0,0,2206467580.33255
401550203.552273,0,0,2506823754.76367
370609607.745688,0,0,1742797350.14274
343355667.129466,247216387.5,0,1727589291.23208
319199054.208547,0,0,1482876609.24197
297749474.092632,535519871.364583,21072478.6354167,607021216.876575
278571391.557629,342187.5,0,909942888.866171
261354324.189186,50924034.9479167,5649958.80208333,1227633357.41179
245807592.22013,0,0,1275971113.56827
231760272.511982,0,0,975489838.777436
222831552.64534,32861662706.4896,199578049.760417,1857511724.66935
299810787.356321,58135205545.7292,836968229.270834,701000890.875
328665273.48736,2776694828.11458,537311865.635417,725792686.875
356128680.225966,50586291.4479166,768876427.302084,1164396656.5072
389491917.262439,0,2734062.5,1003798229.30713
433229267.518015,303411234.260417,530314659.489583,382396980.490022
597921870.095863,55747402731.5625,22317087.1875,880375231.875
798608948.81753,17013114169.0625,235644518.4375,714504482.625
1102268460.36487,20243541952.9479,2925103109.55208,1119644501.5
1478340055.33306,6075800873.85418,2214354969.89584,759468352.625
1890136805.34264,35358997.6354166,117184052.364583,1109428121.80418
2271749867.93622,0,0,1118246371.57947
2556737058.35424,0,0,1333085743.46634
2707824722.33054,0,0,1306438945.84564
2726740235.51533,0,0,1187239932.30639
2641622703.96368,0,0,1177034992.85869
2489562278.43614,0,0,296452632.893795
2332724930.05922,26438178106.25,0,946756515.375
2171411903.38485,2997916016.17708,509451758.822917,796368139.5
2019130993.70533,145973194.40625,319821055.59375,769015906.25
1881682082.79913,96551996.71875,195245234.53125,1149864880.82047
1761731417.88027,643037806.604167,430680687.145833,1262272210.70144
1659012096.17734,0,0,969605587.931248
1571993964.14171,0,0,1321326550.77374
1498482609.46708,325943496.260416,277140834.989583,1150720757.96736
1445236475.54157,2494300704.05209,8406701745.94792,377261665.625
1400975168.10822,143742795.802083,1151924254.19792,652973159.375
1362438021.29406,0,0,797267595.3125
1326197383.79546,0,0,1005326205.37979
1290577057.50266,0,7465250,867784984.175863
1255072066.00967,116543121.875,418393965.625,559276298.681435
1231957521.90022,4102033945.90625,10568523297.8438,286445371.875
1211005853.06929,0,0,898711098.4375
1192338597.0282,0,0,1042029673.57953
1174281840.35526,0,0,845889036.667392
1156261044.61219,0,0,961530966.864415
1138267331.78451,0,0,1102271947.87069
1120125663.50159,0,0,742343446.762964
1101562450.42887,0,0,774011580.164423
1082205954.58023,0,0,1248995871.3681
1062005543.80257,0,85276206.25,1148004586.48528
1041032624.26414,0,55995387.5,704586042.720577
1019473900.93284,0,0,507159248.247226
997584640.983883,0,542173418.75,379611981.25
975720619.269614,0,23782064356.25,222560390.625
957851062.453948,573564756.6875,25889350868.3125,319204848.4375
938388972.50679,0,588758987.5,174498207.8125
919457805.428504,31664747.0625,47993614240.4375,304436664.0625
900854945.647276,0,495448900,120146898.4375
