@context
jams.components.core.TemporalContext	TimeLoop	17744
@ancestors
@filters
@attributes
ID	precip_5	tmean_5	etref_5	etact_5	Runoff_5	
@types
JAMSLong	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	
@data
@start
1970-03-13 00:00	0.540351	-1.481004	0.968838	0.777550	0.000000	
1970-03-14 00:00	0.632171	1.715464	0.599241	0.480471	0.000000	
1970-03-15 00:00	0.383351	0.122216	0.605119	0.482567	0.000000	
1970-03-16 00:00	0.099626	0.283016	1.675432	1.327249	0.000000	
1970-03-17 00:00	0.000554	1.189939	1.820518	1.438554	0.000000	
1970-03-18 00:00	7.189717	2.880231	1.046743	0.830397	0.000000	
1970-03-19 00:00	1.738999	0.927054	1.382648	1.095439	0.000000	
1970-03-20 00:00	0.000000	4.123056	2.807904	2.233646	0.000000	
1970-03-21 00:00	0.000000	5.729508	2.142490	1.702211	0.000000	
1970-03-22 00:00	12.502138	4.716905	0.459744	0.369303	0.000000	
1970-03-23 00:00	5.161192	4.765610	0.585645	0.470059	0.000000	
1970-03-24 00:00	13.511401	4.830266	0.678251	0.541606	0.000000	
1970-03-25 00:00	4.553526	4.830878	0.876559	0.697930	0.000000	
1970-03-26 00:00	4.796310	4.582712	1.290530	1.031822	0.000000	
1970-03-27 00:00	0.010673	1.989163	1.502825	1.192908	0.000000	
1970-03-28 00:00	0.000000	-1.087337	2.324108	1.854822	0.000000	
1970-03-29 00:00	0.000000	0.269065	1.998326	1.592417	0.000000	
1970-03-30 00:00	0.434477	4.104533	2.254324	1.802609	0.000000	
1970-03-31 00:00	12.186779	3.464459	0.618696	0.496235	0.000000	
1970-04-01 00:00	0.808873	2.553204	2.016117	1.718195	0.000000	
1970-04-02 00:00	1.305282	-2.341427	1.075358	0.915615	0.000000	
1970-04-03 00:00	0.409738	-2.719397	1.720620	1.466230	0.000000	
1970-04-04 00:00	1.105124	-1.184457	1.177029	1.000661	0.000000	
1970-04-05 00:00	2.236658	-2.122675	1.040408	0.884685	0.000000	
1970-04-06 00:00	0.440963	0.548959	1.021058	0.869351	0.000000	
1970-04-07 00:00	3.654492	3.033424	0.678932	0.579196	0.000000	
1970-04-08 00:00	11.010231	1.349464	0.609095	0.518445	0.000000	
1970-04-09 00:00	4.715785	-0.695423	1.122546	0.957635	0.000000	
1970-04-10 00:00	0.299778	-1.215915	0.938490	0.796795	0.000000	
1970-04-11 00:00	0.000698	0.168620	1.976711	1.684203	0.000000	
1970-04-12 00:00	11.702091	4.051870	1.745213	1.486804	0.000000	
1970-04-13 00:00	15.804996	4.857272	0.871886	0.744424	0.000000	
1970-04-14 00:00	0.007614	4.467650	2.599860	2.211194	0.000000	
1970-04-15 00:00	0.000000	5.770927	3.129130	2.667195	0.000000	
1970-04-16 00:00	0.000000	8.641856	3.203805	2.734880	0.000000	
1970-04-17 00:00	0.000000	11.797369	2.681457	2.289135	0.000000	
1970-04-18 00:00	0.806357	11.890103	3.204036	2.734223	0.000000	
1970-04-19 00:00	5.472450	9.609503	0.959159	0.817399	0.000000	
1970-04-20 00:00	0.183006	4.836490	2.199909	1.871575	0.000000	
1970-04-21 00:00	0.000000	5.856011	3.430043	2.924095	0.000000	
1970-04-22 00:00	0.000000	9.804448	3.071933	2.621820	0.000000	
1970-04-23 00:00	0.333718	11.456264	2.100465	1.790229	0.000000	
1970-04-24 00:00	0.001322	11.142885	2.609245	2.219072	0.000000	
1970-04-25 00:00	18.276413	11.257350	3.222212	2.747714	0.000000	
1970-04-26 00:00	4.105085	5.132076	1.859276	1.583089	0.000000	
1970-04-27 00:00	0.065365	3.019983	2.391980	2.037970	0.000000	
1970-04-28 00:00	0.203118	2.610248	2.040147	1.740876	0.000000	
1970-04-29 00:00	0.256552	2.829124	2.348148	1.997903	0.000000	
1970-04-30 00:00	0.162252	3.965975	3.414015	2.907210	0.000000	
