@context
jams.components.core.TemporalContext	TimeLoop	2922
@ancestors
@filters
@attributes
ID	precip_5	tmean_5	etref_5	etact_5	Runoff_5	
@types
JAMSLong	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	JAMSDouble	
@data
@start
2010-03-09 00:00	0.032740	-4.959749	1.145296	0.852676	939861319.064587	
2010-03-10 00:00	0.000000	-4.248126	0.909687	0.647234	988913636.505392	
2010-03-11 00:00	0.000000	-3.339064	1.526421	1.091018	1031016751.917278	
2010-03-12 00:00	0.000000	-2.242363	1.702728	1.212269	1065591356.712332	
2010-03-13 00:00	0.000000	-0.797864	1.829681	1.288808	1092311730.921340	
2010-03-14 00:00	0.000000	0.828518	2.308915	1.627335	1111397595.956611	
2010-03-15 00:00	0.000000	0.984517	2.349796	1.658374	1123317800.140584	
2010-03-16 00:00	0.000000	1.964110	2.436468	1.714600	1128850347.581373	
2010-03-17 00:00	0.000000	3.051238	2.450652	1.734292	1128904703.725455	
2010-03-18 00:00	0.000000	4.561386	2.469472	1.752768	1124593118.186542	
2010-03-19 00:00	0.493062	8.013323	2.534716	1.920057	1117609758.318982	
2010-03-20 00:00	0.201216	7.394666	0.749486	0.567963	1108219923.380410	
2010-03-21 00:00	2.597575	7.966624	0.660182	0.526813	1098178748.050002	
2010-03-22 00:00	2.435996	7.874784	0.876428	0.694686	1087525974.033160	
2010-03-23 00:00	0.007677	8.528352	2.636738	2.050852	1076041227.747932	
2010-03-24 00:00	0.028431	8.839185	2.573277	2.012927	1064731983.827775	
2010-03-25 00:00	1.390456	9.310227	2.319716	1.854017	1054458935.135256	
2010-03-26 00:00	15.960694	5.121972	1.116871	0.901456	1049582653.837854	
2010-03-27 00:00	7.762192	2.433049	0.912631	0.732992	1049961276.026423	
2010-03-28 00:00	0.023455	5.779310	1.639938	1.310124	1054763994.486645	
2010-03-29 00:00	0.097028	7.408485	2.406074	1.924472	1063759735.746827	
2010-03-30 00:00	15.695250	4.398365	1.072237	0.865473	1080926570.217589	
2010-03-31 00:00	12.075031	2.404151	1.257633	1.011908	1108614416.442627	
2010-04-01 00:00	0.587775	1.899442	1.895105	1.619780	1141799612.433870	
2010-04-02 00:00	0.000000	2.268779	1.756816	1.499099	1178864297.760064	
2010-04-03 00:00	26.379886	3.734514	1.187327	1.017625	1229875611.238115	
2010-04-04 00:00	2.271873	3.215570	1.538017	1.319554	1288496912.546680	
2010-04-05 00:00	0.000000	4.754210	3.086440	2.642213	1350496590.734646	
2010-04-06 00:00	0.050668	7.132419	2.994551	2.569867	1413949264.778659	
2010-04-07 00:00	17.186547	5.974814	1.301886	1.125109	1483004864.757162	
2010-04-08 00:00	0.131369	5.655647	0.960114	0.827044	1553376669.769501	
2010-04-09 00:00	0.000000	7.773414	3.232756	2.767675	1622614505.830275	
2010-04-10 00:00	0.000000	8.705167	3.638005	3.118068	1688566210.402202	
2010-04-11 00:00	0.493746	6.621232	3.193659	2.733141	1749853643.624844	
2010-04-12 00:00	11.689534	1.271019	0.689356	0.591177	1808575690.904885	
2010-04-13 00:00	2.042303	2.163561	1.944227	1.665517	1862840278.267005	
2010-04-14 00:00	0.166447	3.545893	2.733952	2.340737	1911824292.388471	
2010-04-15 00:00	3.177961	4.708726	2.608540	2.232390	1954861901.219486	
2010-04-16 00:00	0.696155	5.308388	2.014898	1.727588	1991669784.233974	
2010-04-17 00:00	1.286620	6.029203	2.323997	1.991191	2022117522.304330	
2010-04-18 00:00	0.032614	6.607321	2.229354	1.907298	2046133920.110127	
2010-04-19 00:00	0.000000	8.753852	3.679254	3.143681	2063614063.746305	
2010-04-20 00:00	0.000000	9.333393	2.931005	2.500574	2074617518.391887	
